Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics,Oakland Athletics see Athletics
,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics,Philadelphia Athletics see Oakland Athletics
21,Philadelphia Phillies,1883,2026,21886,10344,11427,.475,-1083,14,8,2,18,2226,39,97217,748795,194904,14451,.260,102840,3.98
,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia,Also played as Philadelphia Phils and Philadelphia
22,Pittsburgh Pirates,1882,2026,22037,10948,10949,.500,-1,9,9,5,17,2192,41,97986,754749,198521,12428,.263,98236,3.76
,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City,Also played as Pittsburgh and Allegheny City
23,San Diego Padres,1969,2026,9083,4256,4825,.469,-569,5,2,0,9,1198,13,36841,306949,76477,7448,.249,39640,3.96
24,San Francisco Giants,1883,2026,21961,11653,10145,.535,1508,9,23,8,27,1990,59,101475,749449,197007,15792,.263,94065,3.59
,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York,Also played as New York Giants and New York
25,Seattle Mariners,1977,2026,7791,3728,4061,.479,-333,4,0,0,6,1053,8,34607,265676,68161,8000,.257,36179,4.28
,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers,Seattle Pilots see Milwaukee Brewers
,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles,St. Louis Browns see Baltimore Orioles
26,St. Louis Cardinals,1882,2026,22075,11403,10520,.520,883,15,23,11,32,2250,52,101141,756563,200822,13350,.265,97263,3.69
,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns,Also played as St. Louis and St. Louis Browns
27,Tampa Bay Rays,1998,2026,4505,2210,2295,.491,-85,4,2,0,9,667,2,20023,153114,38860,4694,.254,20459,4.21
,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays,Also played as Tampa Bay Devil Rays
28,Texas Rangers,1961,2026,10364,4935,5423,.476,-488,7,3,1,9,1308,12,46599,353732,91112,10399,.258,48614,4.27
,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators,Also played as Washington Senators
29,Toronto Blue Jays,1977,2026,7791,3893,3895,.500,-2,7,3,2,11,988,12,36053,266868,69418,8484,.260,35615,4.22
30,Washington Nationals,1969,2026,9077,4371,4702,.482,-331,5,1,1,6,1102,10,38120,307001,77836,7816,.254,39748,3.98
,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos,Also played as Montreal Expos
,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins,Washington Senators/Nationals (1901-1960) see Minnesota Twins
,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers,Washington Senators (1961-1971) see Texas Rangers
1,Akron Grays,1933,1933,11,3,8,.273,-5,0,0,0,0,24,0,33,336,86,2,.256,63,5.23
,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants,Also played as Akron Grays/Cleveland Giants
2,Altoona Mountain Citys,1884,1884,25,6,19,.240,-13,0,0,0,0,18,0,90,899,223,2,.248,216,4.67
,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City,Also played as Altoona Mountain City
3,Atlanta Black Crackers,1932,1939,89,36,53,.404,-17,0,0,0,0,67,0,376,2612,682,17,.261,514,5.23
,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers,Also played as Indianapolis ABCs/Atlanta Black Crackers
4,Bacharach Giants,1923,1929,404,199,197,.503,2,3,2,0,3,96,2,2568,15677,4364,178,.278,2521,4.63
,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants,Also played as Atlantic City Bacharach Giants
5,Baltimore Black Sox,1923,1934,449,235,207,.532,28,1,1,0,1,136,5,3042,18447,5194,256,.282,3058,4.53
,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox,Also played as Baltimore Sox
6,Baltimore Elite Giants,1930,1948,956,464,452,.507,12,1,1,0,4,191,4,4641,29413,8084,305,.275,4301,4.26
,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants,Also played as Washington Elite Giants Columbus Elite Giants and Nashville Elite Giants
7,Baltimore Monumentals,1884,1884,106,58,47,.552,11,0,0,0,0,36,0,662,3883,952,17,.245,627,3.01
8,Baltimore Orioles,1901,1902,276,118,153,.435,-35,0,0,0,0,53,5,1475,9349,2666,57,.285,1598,4.04
9,Baltimore Orioles,1882,1899,2238,1133,1049,.519,84,0,3,0,0,254,8,13494,78013,21220,354,.272,12784,3.80
10,Baltimore Terrapins,1914,1915,314,131,177,.425,-46,0,0,0,0,48,1,1195,10180,2609,68,.256,1388,3.54
11,Birmingham Black Barons,1924,1948,1218,592,610,.493,-18,3,3,0,4,279,4,3851,27710,7509,247,.271,4249,4.36
12,Boston Reds,1890,1891,272,174,90,.659,84,0,2,0,0,35,5,2059,9643,2693,110,.279,1456,3.37
13,Boston Reds,1884,1884,111,58,51,.532,7,0,0,0,0,25,1,636,3940,928,19,.236,558,2.70
14,Brooklyn Gladiators,1890,1890,100,26,73,.263,-47,0,0,0,0,22,0,492,3475,769,13,.221,733,4.71
15,Brooklyn Royal Giants,1923,1927,188,69,116,.373,-47,0,0,0,0,35,1,854,6032,1637,94,.271,959,4.59
16,Brooklyn Tip-Tops,1914,1915,310,147,159,.480,-12,0,0,0,0,53,1,1309,10256,2750,78,.268,1350,3.35
17,Brooklyn Ward's Wonders,1890,1890,133,76,56,.576,20,0,0,0,0,17,1,964,4887,1352,34,.277,893,3.95
18,Buffalo Bisons,1914,1915,308,154,149,.508,5,0,0,0,0,43,0,1194,10129,2525,77,.249,1236,3.27
,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds,Also played as Buffalo Blues and Buffalo Buffeds
19,Buffalo Bisons,1890,1890,134,36,96,.273,-60,0,0,0,0,26,2,793,4795,1249,20,.260,1199,6.11
20,Buffalo Bisons,1879,1885,656,314,333,.485,-19,0,0,0,0,68,5,3474,23841,6194,105,.260,3738,3.19
21,Chicago American Giants,1920,1948,1861,982,857,.534,125,6,6,2,10,347,8,6908,47095,12336,352,.262,6621,3.77
,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants,Also played as Chicago Columbia Giants
22,Chicago Giants,1920,1921,83,15,66,.185,-51,0,0,0,0,35,0,351,2909,730,11,.251,514,5.02
23,Chicago Pirates,1890,1890,138,75,62,.547,13,0,0,0,0,16,2,886,4968,1311,31,.264,770,3.39
,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings,Also played as Chicago White Stockings
24,Chicago Whales,1914,1915,312,173,133,.565,40,0,1,0,0,40,2,1261,10231,2634,102,.257,1055,2.54
,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds,Also played as Chicago Chi-Feds
25,Chicago/Pittsburgh (Union League),1884,1884,93,41,50,.451,-9,0,0,0,0,35,0,438,3212,742,10,.231,482,2.72
,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh,Also played as Chicago/Pittsburgh
26,Cincinnati Kelly's Killers,1891,1891,102,43,57,.430,-14,0,0,0,0,23,1,549,3574,838,28,.234,643,3.43
27,Cincinnati Outlaw Reds,1884,1884,105,69,36,.657,33,0,0,0,0,23,0,703,3786,1027,26,.271,466,2.38
28,Cincinnati Reds,1876,1879,265,104,158,.397,-54,0,0,0,0,43,3,1347,9873,2542,23,.257,1809,2.93
29,Cincinnati Stars,1880,1880,83,21,59,.263,-38,0,0,0,0,16,1,296,2895,649,7,.224,472,2.44
30,Cincinnati Tigers,1937,1937,55,34,20,.630,14,0,0,0,0,25,0,237,1487,415,10,.279,186,3.05
31,Cleveland Blues,1879,1884,549,242,299,.447,-57,0,0,0,0,67,1,2437,19506,4690,62,.240,2782,2.63
32,Cleveland Browns,1924,1924,47,15,32,.319,-17,0,0,0,0,32,0,153,1078,283,14,.263,242,6.11
33,Cleveland Buckeyes,1942,1948,504,298,197,.602,101,2,2,1,2,102,0,944,6489,1706,39,.263,1022,4.35
,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes,Also played as Cincinnati-Cleveland Buckeyes
34,Cleveland Cubs,1931,1931,44,23,21,.523,2,0,0,0,0,29,1,160,1153,286,11,.248,197,4.57
35,Cleveland Elites,1926,1926,49,8,40,.167,-32,0,0,0,0,39,0,182,1499,398,15,.266,381,7.35
36,Cleveland Hornets,1927,1927,49,12,37,.245,-25,0,0,0,0,25,0,170,1289,355,9,.275,304,6.23
37,Cleveland Infants,1890,1890,131,55,75,.423,-20,0,0,0,0,21,1,849,4804,1370,27,.285,1027,4.23
38,Cleveland Red Sox,1934,1934,28,3,25,.107,-22,0,0,0,0,24,0,71,706,166,2,.235,169,7.59
39,Cleveland Spiders,1887,1899,1802,827,938,.469,-111,0,0,0,0,164,6,10057,63232,17006,292,.269,10729,4.02
,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues,Also played as Cleveland Blues
40,Cleveland Stars,1932,1932,19,5,13,.278,-8,0,0,0,0,19,0,87,682,190,1,.279,128,5.15
41,Cleveland Tate Stars,1922,1922,40,15,24,.385,-9,0,0,0,0,27,0,238,1683,440,12,.261,316,5.58
42,Cleveland Tigers,1928,1928,79,20,59,.253,-39,0,0,0,0,41,0,278,2096,606,17,.289,418,5.96
43,Columbus Blue Birds,1933,1933,42,14,28,.333,-14,0,0,0,0,20,0,129,930,254,16,.273,169,5.11
44,Columbus Buckeyes,1921,1921,71,31,39,.443,-8,0,0,0,0,28,1,408,2955,777,17,.263,444,4.26
45,Columbus Buckeyes,1883,1884,207,101,104,.493,-3,0,0,0,0,23,0,1061,7312,1755,55,.240,1118,3.28
46,Columbus Solons,1889,1891,418,200,209,.489,-9,0,0,0,0,45,0,2312,14254,3585,72,.252,2318,3.70
47,Columbus Turfs,1932,1932,10,3,5,.375,-2,0,0,0,0,0,0,,,,,,,
